class,mf_name,hc,lf,udog,mf_key
450,Colton Aeck,16,-,Yes,450Colton Aeck
450,Michael Akaydin,16,-,Yes,450Michael Akaydin
450,Jason Anderson,3,3rd,No,450Jason Anderson
450,Hector Assuncao,16,-,Yes,450Hector Assuncao
450,Cade Autenrieth,14,-,Yes,450Cade Autenrieth
450,Blake Baggett,1,10th,Yes,450Blake Baggett
450,Justin Barcia,3,4th,No,450Justin Barcia
450,Benny Bloss,10,-,Yes,450Benny Bloss
450,Justin Bogle,9,-,Yes,450Justin Bogle
450,Tyler Bowers,7,16th,Yes,450Tyler Bowers
450,Justin Brayton,1,21st,Yes,450Justin Brayton
450,Ryan Breece,10,14th,Yes,450Ryan Breece
450,Johnnie Buller,16,-,Yes,450Johnnie Buller
450,Joshua Cartwright,14,-,Yes,450Joshua Cartwright
450,Aj Catanzaro,16,-,Yes,450Aj Catanzaro
450,Scott Champion,16,-,Yes,450Scott Champion
450,Kyle Chisholm,9,15th,Yes,450Kyle Chisholm
450,Adam Cianciarulo,5,-,No,450Adam Cianciarulo
450,Cade Clason,16,-,Yes,450Cade Clason
450,Jason Clermont,15,-,Yes,450Jason Clermont
450,Dillon Cloyed,16,-,Yes,450Dillon Cloyed
450,Joan Cros,16,-,Yes,450Joan Cros
450,Kyle Cunningham,10,18th,Yes,450Kyle Cunningham
450,Tyler Custer,16,-,Yes,450Tyler Custer
450,Martin Davalos,6,17th,Yes,450Martin Davalos
450,Kyle Dillin,16,-,Yes,450Kyle Dillin
450,Adam Enticknap,14,-,Yes,450Adam Enticknap
450,Robert Fitch,16,-,Yes,450Robert Fitch
450,Vince Friese,4,11th,Yes,450Vince Friese
450,Josh Greco,16,-,Yes,450Josh Greco
450,Daniel Herrlein,15,-,Yes,450Daniel Herrlein
450,Justin Hill,0,6th,Yes,450Justin Hill
450,Jake Hogan,16,-,Yes,450Jake Hogan
450,Mathias Jorgensen,16,-,Yes,450Mathias Jorgensen
450,Logan Karnow,14,-,Yes,450Logan Karnow
450,Ben Lamay,12,-,Yes,450Ben Lamay
450,Jared Lesher,16,-,Yes,450Jared Lesher
450,Bradley Lionnet,16,-,Yes,450Bradley Lionnet
450,Vann Martin,16,-,Yes,450Vann Martin
450,Dylan Merriam,16,-,Yes,450Dylan Merriam
450,Henry Miller,15,-,Yes,450Henry Miller
450,James Milson,16,-,Yes,450James Milson
450,Alexander Nagy,16,-,Yes,450Alexander Nagy
450,Fredrik Noren,12,-,Yes,450Fredrik Noren
450,Zach Osborne,2,5th,Yes,450Zach Osborne
450,Theodore Pauli,16,-,Yes,450Theodore Pauli
450,Aaron Plessinger,3,8th,Yes,450Aaron Plessinger
450,Austin Politelli,16,-,Yes,450Austin Politelli
450,Deven Raper,15,-,Yes,450Deven Raper
450,Alex Ray,12,-,Yes,450Alex Ray
450,Chad Reed,10,13th,Yes,450Chad Reed
450,Ken Roczen,2,2nd,No,450Ken Roczen
450,Nicholas Schmidt,16,-,Yes,450Nicholas Schmidt
450,John Short,15,-,Yes,450John Short
450,Aaron Siminoe,16,-,Yes,450Aaron Siminoe
450,Ryan Smith,16,-,Yes,450Ryan Smith
450,Travis Smith,16,-,Yes,450Travis Smith
450,Carter Stephenson,16,-,Yes,450Carter Stephenson
450,Bryce Stewart,16,-,Yes,450Bryce Stewart
450,Malcolm Stewart,0,7th,Yes,450Malcolm Stewart
450,Ronnie Stewart,14,20th,Yes,450Ronnie Stewart
